"","n","mtry","minnodesize","R2","RMSE","MAE"
"86",87,8,2,0.864742907869004,0.087876323648212,0.0526753886853003
"87",88,8,2,0.866145279212151,0.0874195774086308,0.0540299055564185
"88",89,8,3,0.861626662189029,0.0888828691051082,0.0535815440717735
"89",90,9,3,0.865367248023994,0.0876732726420655,0.0546002678002071
"90",91,10,2,0.871283039904176,0.0857254441204955,0.0528589389130436
"91",92,10,2,0.868611976771861,0.0866103404635006,0.0521673638768116
"92",93,8,3,0.853634402351706,0.0914137156192341,0.0547886921402693
"93",94,8,2,0.859545646435764,0.0895487358092348,0.0549062424879228
"94",95,9,6,0.853548000865243,0.0914406929819798,0.0555680782246377
"95",96,9,3,0.858970830596305,0.0897317898512739,0.0538946161231886
"96",97,9,3,0.861528395509232,0.0889144238629122,0.0530842773652918
"97",98,9,6,0.858728635866917,0.0898088066986251,0.0557033991200829
"98",99,7,4,0.858236818665319,0.089964999499898,0.0552404353571428
"99",100,10,5,0.864915212777131,0.0878203326945053,0.0529506448964804
"100",101,9,3,0.868081829499466,0.0867848997959864,0.053567660652174
"101",102,8,2,0.868141981409387,0.0867651114958793,0.0534422698677772
"102",103,9,8,0.84664665613271,0.0935703990487453,0.0567708306754659
"103",104,8,4,0.855932169881268,0.0906933333011899,0.0548618255201863
"104",105,10,2,0.871734952322626,0.0855748250568405,0.0515285477898552
"105",106,9,5,0.856112585894312,0.0906365279217526,0.0554989081884058
"106",107,8,5,0.855151818700271,0.090938624260307,0.0557343983086479
"107",108,10,5,0.86199830557895,0.0887634279577665,0.0545549971618357
"108",109,9,3,0.862029366374755,0.0887534381606247,0.0535645930797103
"109",110,8,3,0.862039186598913,0.0887502795385902,0.0540442396704624
"110",111,9,6,0.851704329471261,0.092014462285583,0.056467058442029
"111",112,8,3,0.8703925503443,0.0860214658645811,0.0537716187836438
"112",113,10,4,0.865169994873944,0.087737475071274,0.0540505501397516
"113",114,9,3,0.860824530774361,0.089140117785116,0.0544695134764029
"114",115,8,2,0.863305095271032,0.0883421612428889,0.0544269399637682
"115",116,9,4,0.865379868843768,0.0876691631869378,0.0553870852320566
"116",117,10,2,0.860035901881151,0.0893923144133109,0.0536879460300209
"117",118,9,6,0.859773696271293,0.0894760080151001,0.0550953832971015
"118",119,8,2,0.864252837439904,0.0880353787044376,0.0551889229971297
"119",120,8,2,0.86926302357201,0.0863954905511578,0.0554130045546302
