"","n","n.trees","interaction.depth","shrinkage","n.minobsinnode","R2","RMSE","MAE"
"91",92,100,2,0.1,10,0.796090062626784,0.107897418014117,0.066599125194621
"92",93,100,2,0.1,10,0.796090062626784,0.107897418014117,0.066599125194621
"93",94,100,2,0.1,10,0.796090062626784,0.107897418014117,0.066599125194621
"94",95,100,2,0.1,10,0.796090062626784,0.107897418014117,0.066599125194621
"95",96,100,2,0.1,10,0.802645540416445,0.106148858632441,0.0658280509331674
"96",97,100,2,0.1,10,0.802645540416445,0.106148858632441,0.0658280509331674
"97",98,100,2,0.1,10,0.806694996013993,0.105054196339576,0.0654191178344525
"98",99,100,2,0.1,10,0.806694996013993,0.105054196339576,0.0654191178344525
"99",100,100,2,0.1,10,0.806694996013993,0.105054196339576,0.0654191178344525
"100",101,100,2,0.1,10,0.806694996013993,0.105054196339576,0.0654191178344525
"101",102,100,2,0.1,10,0.806694996013993,0.105054196339576,0.0654191178344525
"102",103,100,2,0.1,10,0.806694996013993,0.105054196339576,0.0654191178344525
"103",104,100,2,0.1,10,0.806694996013993,0.105054196339576,0.0654191178344525
"104",105,100,2,0.1,10,0.806694996013993,0.105054196339576,0.0654191178344525
"105",106,100,2,0.1,10,0.806694996013993,0.105054196339576,0.0654191178344525
"106",107,100,2,0.1,10,0.806694996013993,0.105054196339576,0.0654191178344525
"107",108,100,2,0.1,10,0.806694996013993,0.105054196339576,0.0654191178344525
"108",109,100,2,0.1,10,0.803024755652564,0.106046827445085,0.0663299410218882
"109",110,100,2,0.1,10,0.809741553452332,0.104223062345537,0.0658980787584206
"110",111,100,2,0.1,10,0.809741553452332,0.104223062345537,0.0658980787584206
"111",112,100,2,0.1,10,0.805698310980436,0.105324679056816,0.0655439828756814
"112",113,100,2,0.1,10,0.805698310980436,0.105324679056816,0.0655439828756814
"113",114,100,2,0.1,10,0.805698310980436,0.105324679056816,0.0655439828756814
"114",115,100,2,0.1,10,0.806192691071992,0.105190599963462,0.0653282913247289
"115",116,100,2,0.1,10,0.808675251718535,0.104514712880943,0.0655742609902954
"116",117,100,2,0.1,10,0.808675251718535,0.104514712880943,0.0655742609902954
"117",118,100,2,0.1,10,0.808675251718535,0.104514712880943,0.0655742609902954
"118",119,100,2,0.1,10,0.808675251718535,0.104514712880943,0.0655742609902954
"119",120,100,2,0.1,10,0.810841229253895,0.103921426142068,0.0654390046678642
