"","n","lm_intercept","k","R2","RMSE","MAE"
"94",103,TRUE,5,0.599733439431851,0.0780130531324996,0.0663127450980392
"95",104,TRUE,5,0.599733439431851,0.0780130531324997,0.0663127450980392
"96",105,TRUE,5,0.552678634074991,0.0824712242160346,0.0654424242424243
"97",106,TRUE,5,0.588180202361204,0.0791309228414243,0.0680845238095238
"98",107,TRUE,5,0.587271182828496,0.0792182084753489,0.0684579365079365
"99",108,TRUE,5,0.582821436115915,0.0796441006498884,0.0695384920634921
"100",109,TRUE,5,0.583730455648623,0.0795572822815182,0.0691650793650794
"101",110,TRUE,5,0.57584980191983,0.0803068252220736,0.071261507936508
"102",111,TRUE,5,0.507255387793677,0.0865572723705337,0.0751892857142858
"103",112,TRUE,5,0.654176380809741,0.0725136800370592,0.0578321428571428
"104",113,TRUE,5,0.654176380809741,0.0725136800370593,0.0578321428571429
"105",114,TRUE,5,0.655460320180208,0.0723789440902466,0.0570440476190476
"106",115,TRUE,5,0.656245468408385,0.0722964273070291,0.0554738095238095
"107",116,TRUE,5,0.661612913869722,0.0717297819294486,0.0547202380952381
"108",117,TRUE,5,0.503344159238582,0.0869001235226623,0.0759210317460317
"109",118,TRUE,5,0.506326112531399,0.0866388538247332,0.0753694444444444
"110",119,TRUE,5,0.655460320180208,0.0723789440902466,0.0570440476190476
"111",120,TRUE,5,0.655460320180208,0.0723789440902466,0.0570440476190476
